KMeans Clusters:

Cluster 0:
{[5.5, 2.3, 4.0, 1.3];Iris-versicolor}
{[5.7, 2.8, 4.5, 1.3];Iris-versicolor}
{[4.9, 2.4, 3.3, 1.0];Iris-versicolor}
{[5.2, 2.7, 3.9, 1.4];Iris-versicolor}
{[5.0, 2.0, 3.5, 1.0];Iris-versicolor}
{[5.9, 3.0, 4.2, 1.5];Iris-versicolor}
{[6.0, 2.2, 4.0, 1.0];Iris-versicolor}
{[5.6, 2.9, 3.6, 1.3];Iris-versicolor}
{[5.6, 3.0, 4.5, 1.5];Iris-versicolor}
{[5.8, 2.7, 4.1, 1.0];Iris-versicolor}
{[5.6, 2.5, 3.9, 1.1];Iris-versicolor}
{[6.1, 2.8, 4.0, 1.3];Iris-versicolor}
{[5.7, 2.6, 3.5, 1.0];Iris-versicolor}
{[5.5, 2.4, 3.8, 1.1];Iris-versicolor}
{[5.5, 2.4, 3.7, 1.0];Iris-versicolor}
{[5.8, 2.7, 3.9, 1.2];Iris-versicolor}
{[5.4, 3.0, 4.5, 1.5];Iris-versicolor}
{[6.3, 2.3, 4.4, 1.3];Iris-versicolor}
{[5.6, 3.0, 4.1, 1.3];Iris-versicolor}
{[5.5, 2.5, 4.0, 1.3];Iris-versicolor}
{[5.5, 2.6, 4.4, 1.2];Iris-versicolor}
{[5.8, 2.6, 4.0, 1.2];Iris-versicolor}
{[5.0, 2.3, 3.3, 1.0];Iris-versicolor}
{[5.6, 2.7, 4.2, 1.3];Iris-versicolor}
{[5.7, 3.0, 4.2, 1.2];Iris-versicolor}
{[5.7, 2.9, 4.2, 1.3];Iris-versicolor}
{[6.2, 2.9, 4.3, 1.3];Iris-versicolor}
{[5.1, 2.5, 3.0, 1.1];Iris-versicolor}
{[5.7, 2.8, 4.1, 1.3];Iris-versicolor}
{[4.9, 2.5, 4.5, 1.7];Iris-virginica}

Cluster 1:
{[5.1, 3.5, 1.4, 0.2];Iris-setosa}
{[4.9, 3.0, 1.4, 0.2];Iris-setosa}
{[4.7, 3.2, 1.3, 0.2];Iris-setosa}
{[4.6, 3.1, 1.5, 0.2];Iris-setosa}
{[5.0, 3.6, 1.4, 0.2];Iris-setosa}
{[5.4, 3.9, 1.7, 0.4];Iris-setosa}
{[4.6, 3.4, 1.4, 0.3];Iris-setosa}
{[5.0, 3.4, 1.5, 0.2];Iris-setosa}
{[4.4, 2.9, 1.4, 0.2];Iris-setosa}
{[4.9, 3.1, 1.5, 0.1];Iris-setosa}
{[5.4, 3.7, 1.5, 0.2];Iris-setosa}
{[4.8, 3.4, 1.6, 0.2];Iris-setosa}
{[4.8, 3.0, 1.4, 0.1];Iris-setosa}
{[4.3, 3.0, 1.1, 0.1];Iris-setosa}
{[5.8, 4.0, 1.2, 0.2];Iris-setosa}
{[5.7, 4.4, 1.5, 0.4];Iris-setosa}
{[5.4, 3.9, 1.3, 0.4];Iris-setosa}
{[5.1, 3.5, 1.4, 0.3];Iris-setosa}
{[5.7, 3.8, 1.7, 0.3];Iris-setosa}
{[5.1, 3.8, 1.5, 0.3];Iris-setosa}
{[5.4, 3.4, 1.7, 0.2];Iris-setosa}
{[5.1, 3.7, 1.5, 0.4];Iris-setosa}
{[4.6, 3.6, 1.0, 0.2];Iris-setosa}
{[5.1, 3.3, 1.7, 0.5];Iris-setosa}
{[4.8, 3.4, 1.9, 0.2];Iris-setosa}
